TestTempC,H,He,Li,Be,B,N,O,F,Ne,Na,Mg,Al,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,Ductility (%)
25.0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0.235294118,0.235294118,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.235294118,0.235294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7
25.0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0.222222222,0.222222222,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.222222222,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51
25.0,0,0,0,0,0,0,0,0,0,0,0,0.157894737,0,0,0,0,0,0,0,0.210526316,0.210526316,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.210526316,0.210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.83
25.0,0,0,0,0,0,0,0,0,0,0,0,0.272727273,0,0,0,0,0,0,0,0.181818182,0.181818182,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.181818182,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94
25.0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
25.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.25,0.25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9
25.0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0.235294118,0.235294118,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.235294118,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.235294118,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.28
25.0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0.222222222,0.222222222,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.222222222,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.222222222,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.18
25.0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.88
25.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.25,0.25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.83
